"name","RAM"
"Vivo NEX","8RAM"
"Yu Ace","2RAM"
"Oppo F5","4RAM"
"Lenovo Z6 Youth Edition","4RAM"
"Coolpad Cool 3","2RAM"
"Motorola X4 6GB RAM","6RAM"
"Honor 10 Lite 32GB","3RAM"
"Oppo F11 6GB RAM","6RAM"
"Samsung Galaxy J4","2RAM"
"Huawei Nova 5i","6RAM"
"Nokia 5.2","3RAM"
"Xiaomi Redmi X","6RAM"
"Nokia 7.1 Plus","4RAM"
"Apple iPhone XR 128GB","3RAM"
"Samsung Metro XL","4RAM"
"Oppo K3 128GB","8RAM"
"Samsung Galaxy S10 Plus 1TB","2RAM"
"Samsung Galaxy J7 Pro","3RAM"
"Nokia 106 2018","4RAM"
"Samsung Galaxy S10 X 5G","8RAM"
"BlackBerry Evolve","4RAM"
"Nokia 8.1 128GB","6RAM"
"Vivo Y71","3RAM"
"Reliance JioPhone 2","2RAM"
"Realme C1 2019 3GB RAM","3RAM"
"Nokia 105 Dual SIM (2017)",
"Honor 8X 128GB","6RAM"
"Samsung Galaxy M30s","4RAM"
"Nokia 5.1 32GB","3RAM"
"Samsung Galaxy A50s","4RAM"
"Oppo A3s 32GB","3RAM"
"Oppo Reno Z","6RAM"
"Micromax Canvas Infinity","3RAM"
"Motorola E4 Plus 32GB","3RAM"
"Infinix Smart 2 32GB","3RAM"
"Lenovo K9","3RAM"
"Micromax Bharat 1 2018","2RAM"
"Samsung Galaxy A6","4RAM"
"Samsung Galaxy S11","8RAM"
"Huawei Mate 20 Pro","6RAM"
"Samsung Galaxy A10s","2RAM"
"Huawei Nova 5 Pro","8RAM"
"Samsung Galaxy A7 2018 128GB","6RAM"
"Vivo Y83","4RAM"
"Huawei Mate X","8RAM"
"Nokia 7 Plus","4RAM"
"Realme X 8GB RAM","8RAM"
"Motorola G6 Plus","6RAM"
"Tecno Camon i4","2RAM"
"Xiaomi Mi Max 4","4RAM"
"Realme 2 Pro 128GB","8RAM"
"Micromax Bharat 1","2RAM"
"Samsung Galaxy On Nxt 64GB","3RAM"
"Huawei Nova 3","6RAM"
"Realme 2 64GB","4RAM"
"Gionee A1 Lite","3RAM"
"LG G7","4RAM"
"Vivo V9 Youth","4RAM"
"Google Pixel 3A","4RAM"
"Nokia 7.2","4RAM"
"Huawei Nova 3i","4RAM"
"Micromax Bharat 2 Plus","1RAM"
"Realme U1 3GB RAM","3RAM"
"Asus 6Z 128GB","6RAM"
"Honor Play 6GB RAM","6RAM"
"Sony Xperia XA1","3RAM"
"Xiaomi Mi Max 2","4RAM"
"Micromax Infinity N12","3RAM"
"Sony Xperia 1","6RAM"
"Samsung Metro B313",
"Asus Zenfone Max M2 64GB","4RAM"
"Micromax X1i Power",
"Realme 5 Pro","6RAM"
"Vivo V5","4RAM"
"Samsung Galaxy J2 (2017)","1RAM"
"Samsung Galaxy On7 Pro","2RAM"
"Motorola Moto E3 Power","2RAM"
"Nokia 3310 4G","6RAM"
"iKall K3310",
"Apple iPhone 8","2RAM"
"Vivo X27 Pro","8RAM"
"Coolpad Cool 3 Plus 32GB","3RAM"
"Samsung Galaxy On Nxt","3RAM"
"Coolpad Note 8","4RAM"
"Lenovo K3 Note","2RAM"
"Vivo Y83 Pro","4RAM"
"LG V30 Plus","4RAM"
"Samsung Galaxy J7 Nxt","2RAM"
"Samsung Galaxy J5 Prime","2RAM"
"Samsung Galaxy On Nxt (16GB)","3RAM"
"Nokia 8","4RAM"
"Lenovo A5 32GB","3RAM"
"Asus Zenfone 5Z 128GB","6RAM"
"Nokia 220 4G","6RAM"
"Apple iPhone XS Max 512GB","4RAM"
"Lenovo A5","2RAM"
"Motorola G7 Power","4RAM"
"Panasonic Eluga Z1","3RAM"
"Honor 8X 6GB RAM","6RAM"
"Lava Z61","1RAM"
"Honor 9 Lite 64GB","4RAM"
"Oppo A7 3GB RAM","3RAM"
"Samsung Galaxy A70s","6RAM"
"Panasonic Eluga Z1 Pro","4RAM"
"Motorola G7","4RAM"
"Nokia 220 Dual SIM","8RAM"
"Motorola Moto G (3rd Gen)","2RAM"
"Xiaomi Redmi Note 5 64GB","4RAM"
"Samsung Galaxy S8 Plus","4RAM"
"Lava Gem",
"Realme 1 128GB","6RAM"
"Xiaomi Redmi 7 Pro","3RAM"
"Motorola G5S Plus","4RAM"
"Vivo Y81 4GB RAM","4RAM"
"Xiaomi Mi A3 Lite","3RAM"
"Motorola E5","2RAM"
"Honor 7X","4RAM"
"Nokia 130 (2017)","4RAM"
"Asus Zenfone Max Pro M2 6GB RAM","6RAM"
"Lava A7",
"Coolpad Cool 3 Plus","2RAM"
"Apple iPhone XI Max","4RAM"
"Huawei P20 Lite","4RAM"
"Tenor G2","4RAM"
"Vivo Z1","4RAM"
"Honor 7C","3RAM"
"Xiaomi Redmi 4","4RAM"
"Xiaomi Mi Mix 4","6RAM"
"Apple iPhone XR 256GB","3RAM"
"Panasonic P110","1RAM"
"Huawei Nova 5","8RAM"
"Xiaomi Redmi Note 4 32GB","3RAM"
"Samsung Galaxy On6","4RAM"
"Huawei Nova 5i Pro","6RAM"
"Oppo F9 Pro 128GB","6RAM"
"Vivo V7","4RAM"
"Nokia 8.1 Plus","6RAM"
"Micromax Spark Go","1RAM"
"Samsung Galaxy J7","5RAM"
"Micromax X930",
"Lenovo K8 Plus","3RAM"
"Samsung Galaxy A8","2RAM"
"Vivo Y53","2RAM"
"Vivo X27","8RAM"
"Lenovo K9 Note","4RAM"
"Samsung Galaxy J2 Pro","2RAM"
"Apple iPhone 5c 16GB","1RAM"
"Nokia Edge","3RAM"
"Samsung Galaxy A9 2018 8GB RAM","8RAM"
"Apple iPhone 6 Plus 64GB","1RAM"
"Nokia 2","1RAM"
"Panasonic Eluga Ray 700","3RAM"
"Samsung Galaxy J7 (2016)","2RAM"
"Asus 6Z 256GB","8RAM"
"Xiaomi Mi 9 SE","6RAM"
"Lava One",
"Google Pixel XL 2","4RAM"
"Micromax Evok Dual Note","4RAM"
"Gionee P7 Max","3RAM"
"Huawei Mate 30 Pro","8RAM"
"Apple iPhone 5c 32GB","1RAM"
"Oppo Reno 10x Zoom Edition 256GB","8RAM"
"Motorola G6","3RAM"
"Xiaomi Mi 8 Youth","4RAM"
"Samsung Galaxy A8s","6RAM"
"Motorola Moto G2","1RAM"
"Sony Xperia XA2","3RAM"
"Vivo V9 Pro 4GB RAM","4RAM"
"Google Pixel 3 XL","4RAM"
"Honor 20 Pro","8RAM"
"Huawei Y7 Pro 2019","3RAM"
"Realme 1 64GB","4RAM"
"Xiaomi Mi Max 3","4RAM"
"Xiaomi Redmi 5 64GB","4RAM"
"Yu Yunicorn","4RAM"
"Yu Yutopia","4RAM"
"Vivo Apex 2019","2RAM"
"Mobiistar X1 Notch","2RAM"
"Lenovo Vibe K5 Note (4GB)","4RAM"
"Infinix Hot S3X","3RAM"
"Samsung Galaxy A30s","3RAM"
"Micromax X412","2RAM"
"Tenor G 64GB","4RAM"
"Panasonic P85 NXT","2RAM"
"Xolo Era 4X","1RAM"
"Lenovo A6000 Plus","2RAM"
"Nokia 2.2 32GB","3RAM"
"Lava A3",
"Gionee A1","4RAM"
"BlackBerry Passport","3RAM"
"LG G7 Plus ThinQ","6RAM"
"Motorola Moto E XT1022","1RAM"
"Samsung Galaxy J3 Pro","2RAM"
"Honor 8X Max","4RAM"
"Nokia 5.1 Plus 64GB","4RAM"
"Tecno Camon i4 64GB","4RAM"
"Nokia 8.2","8RAM"
"Xiaomi Redmi K20 Pro 256GB","8RAM"
"Xiaomi Mi 9X","6RAM"
"Poco F1 256GB","8RAM"
"Vivo Z10","4RAM"
"Lenovo K8 Note 32GB","3RAM"
"Motorola X4","3RAM"
"BlackBerry KEY2","6RAM"
"Intex Turbo Plus 4G","2RAM"
"Nokia 105","4RAM"
"iKall K1","1RAM"
"Micromax Infinity N11","2RAM"
"Samsung Galaxy J2 (2016)","5RAM"
"Tecno Camon iClick 2","4RAM"
"Vivo V5s","4RAM"
"Google Pixel 3","4RAM"
"Xiaomi Redmi 5 32GB","3RAM"
"Panasonic Eluga X1","4RAM"
"Lenovo Z5 Pro","6RAM"
"Apple iPhone XS Max 256GB","4RAM"
"Xiaomi Redmi 4A (3GB/32GB)","3RAM"
"Apple iPhone 8 Plus 256GB","3RAM"
"Lenovo Z5s","4RAM"
"iKall K9","2RAM"
"Vivo Y69","3RAM"
"Samsung Galaxy J5 (2016)","2RAM"
"Motorola One","4RAM"
"Vivo X21","6RAM"
"Lenovo Vibe K4 Note","3RAM"
"Xiaomi Mi 8 SE","4RAM"
"Micromax Dual 4","4RAM"
"Gionee M7 Power","4RAM"
"Xiaomi Play","4RAM"
"Realme A1","2RAM"
"Vivo Y66","3RAM"
"Google Pixel 4 XL","6RAM"
"Micromax X1i Pop",
"iKall K2180",
"Xiaomi Mi 9 Transparent Edition","2RAM"
"Oppo Reno Lite","4RAM"
"Mobiistar C1 Lite","1RAM"
"Motorola One Action","4RAM"
"Apple iPhone XS 256GB","4RAM"
"Asus Zenfone Max 2016 2GB","2RAM"
"Xiaomi Black Shark 2 256GB","2RAM"
"Apple iPhone 5c","1RAM"
"Panasonic P95","1RAM"
"Oppo R19","6RAM"
"Sony Xperia R1","2RAM"
"Honor 10","6RAM"
"Xiaomi Mi Mix 3","6RAM"
"Lava KKT Jumbo 2",
"Honor 7C 64GB","4RAM"
"Motorola G6 64GB","4RAM"
"LG Q Stylus Plus","4RAM"
"Motorola G5 Plus 32GB","4RAM"
"Samsung Galaxy S10 Plus 512GB","8RAM"
"Xiaomi Black Shark 2 Pro","2RAM"
"Oppo R17","8RAM"
"Nokia 6 2019","6RAM"
"Lava A1 Josh",
"LG V40 ThinQ","6RAM"
"Samsung Galaxy J2","1RAM"
"Nokia 6","3RAM"
"Samsung Galaxy J8 Plus","4RAM"
"Karbonn K888 Metal",
"Honor View 20 256GB","8RAM"
"Nokia 3","2RAM"
"Vivo V12 Pro","6RAM"
"Sony Xperia XA2 Plus","4RAM"
"Poco F1 Armoured Edition","8RAM"
"Qin 1","8RAM"
"Vivo Y71i","2RAM"
"Nokia 3.1","2RAM"
"Xiaomi Redmi K20 128GB","6RAM"
"Xiaomi Redmi Y1 Lite","2RAM"
"Oppo A9X","6RAM"
"Oppo A71","3RAM"
"Jivi Revolution TnT3","1RAM"
"Samsung Galaxy A7 (2016)","3RAM"
"Motorola Moto C Plus","2RAM"
"iKall K37 New",
"HTC Desire 10 Pro","4RAM"
"Xiaomi Mi Max 4 Pro","4RAM"
"Infinix Note 5 64GB","4RAM"
"Micromax Canvas Doodle 3 A102 (1GB/8GB)","1RAM"
"Vivo Y3","4RAM"
"Alcatel 3V","3RAM"
"Lenovo Vibe K5 Plus 3GB RAM","3RAM"
"Vivo Y19","4RAM"
"iKall K6303",
"Oppo F1","3RAM"
"Kechao K66",
"Coolpad Note 5","4RAM"
"Huawei Y5 Prime 2018","2RAM"
"BlackBerry Priv","3RAM"
"Xolo ZX","4RAM"
"Itel A46","2RAM"
"Vivo Y55S","3RAM"
"Xiaomi Mi Mix 3 5G","6RAM"
"OnePlus 3","6RAM"
"Nokia 3.1 32GB","3RAM"
"Vivo iQOO","6RAM"
"Infinix Note 6","4RAM"
"Yu Ace 32GB","3RAM"
"Samsung Galaxy Note 5","4RAM"
"Meizu C9","2RAM"
"Oppo R15","6RAM"
"Honor 10 Lite 6GB RAM","6RAM"
"Huawei Nova 4","8RAM"
"iKall K28",
"Sony Xperia R1 Plus","3RAM"
"Apple iPhone SE 2","2RAM"
"Yu Yureka Black","4RAM"
"Xiaomi Mi7","6RAM"
"Samsung Galaxy On7 Prime 64GB","4RAM"
"Lenovo K6 Power 32GB","3RAM"
"Gionee F205 Pro","2RAM"
"iKall K130 New",
"Vivo Z1 Lite","4RAM"
"Motorola Z2 Play","4RAM"
"Vivo Y51","2RAM"
"Nubia X","6RAM"
"Vivo S1 6GB RAM","6RAM"
"Micromax Bharat 5","1RAM"
"Oppo A83 2018 16GB 2GB RAM","2RAM"
"Samsung Galaxy S9 Plus 128GB","6RAM"
"Samsung Galaxy J5","5RAM"
"LYF Flame 8","1RAM"
"Samsung Galaxy J7 Duo","4RAM"
"Lenovo Z6 Pro 5G","6RAM"
"Samsung Guru E1282",
"Sony Xperia XZ4","6RAM"
"Lava Spark i8",
"Philips E108",
"Samsung Galaxy J5 Pro","3RAM"
"Micromax Canvas 2 Plus","3RAM"
"Micromax X424 Plus",
"Oppo F7 128GB","6RAM"
"OnePlus 5","8RAM"
"Samsung W2019","6RAM"
"Micromax X772",
"Huawei Y7 Prime 2018","3RAM"
"Mobiistar XQ","3RAM"
"Asus Zenfone 3 (ZE520KL)","3RAM"
"Swipe Konnect Star 4G","1RAM"
"Xiaomi Mi Max 3 Pro","6RAM"
"Nokia 8 Sirocco","6RAM"
"Samsung Galaxy On5 Pro","2RAM"
"Huawei Y6 Pro 2019","3RAM"
"Motorola Z4","4RAM"
"Samsung Galaxy S9 128GB","4RAM"
"Google Pixel 4","6RAM"
"LG Q6","3RAM"
"Kechao K115",
"Lenovo Zuk Z2","4RAM"
"Samsung Galaxy A20e","3RAM"
"Gionee P5 Mini","1RAM"
"Motorola G6 Play","3RAM"
"Sony Xperia 10 Plus","4RAM"
"Xiaomi Mi A2 Lite","3RAM"
"Motorola Z2 Force","6RAM"
"VOTO V9","3RAM"
"Lenovo Vibe K5 Plus","2RAM"
"Tecno Camon i Sky","2RAM"
"LG G6","4RAM"
"Nokia 3.2 32GB","3RAM"
"Lenovo Vibe K5 Note (4GB/64GB)","4RAM"
"Nokia 10","6RAM"
"Tecno Camon iAce 2","2RAM"
"Micromax Canvas 5 E481 (3GB RAM)","3RAM"
"Xiaomi Black Shark","6RAM"
"Gionee Long L800","8RAM"
"Micromax Bharat 4","1RAM"
"Samsung Galaxy Note 3","3RAM"
"Xiaomi Mi4i","2RAM"
"Vivo Y21","1RAM"
"LG G8 ThinQ","6RAM"
"Sony Xperia XZ3","4RAM"
"Lenovo A1000","1RAM"
"Gionee F205","2RAM"
"InFocus Vision 3","2RAM"
"Tecno Camon i4 3GB RAM","3RAM"
"Xolo Era 4X 2GB RAM","2RAM"
"Xiaomi Redmi Note 6","3RAM"
"Samsung Galaxy A7 2017","3RAM"
"Lenovo Z5","6RAM"
