"Name","Operating System","Display","Camera","Battery","Special Features""Mobile Phones",,,,,,,,
"Xiaomi Redmi 6","Android v8.1 (Oreo)","5.45 inches (13.84 cm) bezel-less display","12 + 5 MP Dual Rear Cameras 5 MP Front Camera","3000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Oppo F11 Pro","Android v9.0 (Pie)","6.5 inches (16.51 cm) bezel-less display Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 16 MP Front Camera","4000 mAh battery with VOOC Charging v3.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme 3 3GB RAM","Android v9.0 (Pie)","6.2 inches (15.75 cm) bezel-less display with notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 13 MP Front Camera","4230 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 7","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","12 + 2 MP Dual Rear Cameras 13 MP Front Camera","4000 mAh battery with Quick Charging v4.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"OnePlus 7 Pro","Android v9.0 (Pie)","6.67 inches (16.94 cm) bezel-less display Gorilla Glass 5 Protection","48 + 16 + 8 MP Triple Rear Cameras 16 MP Front Camera","4000 mAh battery with Warp Charging, charges upto 48% in 20 minutes","On-screen Fingerprint Sensor Face Unlock No 3.5 mm headphone jack present",,,
"Vivo V15 Pro","Android v9.0 (Pie)","6.39 inches (16.23 cm) bezel-less display","48 + 8 + 5 MP Triple Rear Cameras 32 MP Front Camera","3700 mAh battery with Fast Charging, charges upto 24% in 15 minutes","On-screen Fingerprint Sensor which unlocks in 0.37 seconds Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 7S 64GB","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 13 MP Front Camera","4000 mAh battery with Quick Charging v4.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Oppo K3","Android v9.0 (Pie)","6.5 inches (16.51 cm) bezel-less display Gorilla Glass 5 Protection","16 + 2 MP Dual Rear Cameras 16 MP Front Camera","3765 mAh battery with VOOC Charging v3.0","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Mobile Phones",,,,,,,,
"Samsung Galaxy A30","Android v9.0 (Pie)","6.4 inches (16.26 cm) bezel-less display with notch Gorilla Glass 5 Protection","16 + 5 MP Dual Rear Cameras 16 MP Front Camera","4000 mAh battery with Fast Charging","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Samsung Galaxy M20 64GB","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch","13 + 5 MP Dual Rear Cameras 8 MP Front Camera","5000 mAh battery with Fast Charging","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
